zipcode,price,bedrooms,near_college
92129,2629,0,0
92129,3111,2,0
92129,2649,1,0
92129,2425,1,0
92129,2629,0,0
92129,3111,2,0
92129,2649,1,0
92129,2425,1,0
92129,2629,0,0
92129,3111,2,0
92129,2649,1,0
92129,2425,1,0
92129,2629,0,0
92129,3111,2,0
92129,2649,1,0
92129,2425,1,0
92129,2629,0,0
92129,3111,2,0
92129,2649,1,0
92129,2425,1,0
92129,2629,0,0
92129,3111,2,0
92129,2649,1,0
92129,2425,1,0
92129,2629,0,0
92129,3111,2,0
92129,2649,1,0
92129,2425,1,0
92129,2629,0,0
92129,3111,2,0
92129,2649,1,0
92129,2425,1,0
92129,2629,0,0
92129,3111,2,0
92129,2649,1,0
92129,2425,1,0
92117,2485,1,0
92117,1745,0,0
92117,2426,1,0
92117,1980,0,0
92117,1973,1,0
92117,2485,1,0
92117,1745,0,0
92117,2426,1,0
92117,1980,0,0
92117,1973,1,0
92117,2485,1,0
92117,1745,0,0
92117,2426,1,0
92117,1980,0,0
92117,1973,1,0
92117,2485,1,0
92117,1745,0,0
92117,2426,1,0
92117,1980,0,0
92117,1973,1,0
92117,2485,1,0
92117,1745,0,0
92117,2426,1,0
92117,1980,0,0
92117,1973,1,0
92117,2485,1,0
92117,1745,0,0
92117,2426,1,0
92117,1980,0,0
92117,1973,1,0
92117,2485,1,0
92117,1745,0,0
92117,2426,1,0
92117,1980,0,0
92117,1973,1,0
92117,2485,1,0
92117,1745,0,0
92117,2426,1,0
92117,1980,0,0
92117,1973,1,0
92117,2485,1,0
92117,1745,0,0
92117,2426,1,0
92117,1980,0,0
92117,1973,1,0
92113,1750,1,0
92113,1750,1,0
92113,1750,1,0
92113,1750,1,0
92113,1750,1,0
92113,1750,1,0
92113,1750,1,0
92113,1750,1,0
92113,1750,1,0
92025,2445,1,1
92025,2595,2,1
92025,1775,0,1
92025,1825,1,1
92025,2495,2,1
92025,1895,0,1
92025,2445,1,1
92025,2595,2,1
92025,1775,0,1
92025,1825,1,1
92025,2495,2,1
92025,1895,0,1
92025,2445,1,1
92025,2595,2,1
92025,1775,0,1
92025,1825,1,1
92025,2495,2,1
92025,1895,0,1
92025,2445,1,1
92025,2595,2,1
92025,1775,0,1
92025,1825,1,1
92025,2495,2,1
92025,1895,0,1
92025,2445,1,1
92025,2595,2,1
92025,1775,0,1
92025,1825,1,1
92025,2495,2,1
92025,1895,0,1
92025,2445,1,1
92025,2595,2,1
92025,1775,0,1
92025,1825,1,1
92025,2495,2,1
92025,1895,0,1
92025,2445,1,1
92025,2595,2,1
92025,1775,0,1
92025,1825,1,1
92025,2495,2,1
92025,1895,0,1
92025,2445,1,1
92025,2595,2,1
92025,1775,0,1
92025,1825,1,1
92025,2495,2,1
92025,1895,0,1
92025,2445,1,1
92025,2595,2,1
92025,1775,0,1
92025,1825,1,1
92025,2495,2,1
92025,1895,0,1
92111,2160,1,1
92111,3145,2,1
92111,2250,1,1
92111,2320,1,1
92111,2350,1,1
92111,2160,1,1
92111,3145,2,1
92111,2250,1,1
92111,2320,1,1
92111,2350,1,1
92111,2160,1,1
92111,3145,2,1
92111,2250,1,1
92111,2320,1,1
92111,2350,1,1
92111,2160,1,1
92111,3145,2,1
92111,2250,1,1
92111,2320,1,1
92111,2350,1,1
92111,2160,1,1
92111,3145,2,1
92111,2250,1,1
92111,2320,1,1
92111,2350,1,1
92111,2160,1,1
92111,3145,2,1
92111,2250,1,1
92111,2320,1,1
92111,2350,1,1
92111,2160,1,1
92111,3145,2,1
92111,2250,1,1
92111,2320,1,1
92111,2350,1,1
92111,2160,1,1
92111,3145,2,1
92111,2250,1,1
92111,2320,1,1
92111,2350,1,1
92111,2160,1,1
92111,3145,2,1
92111,2250,1,1
92111,2320,1,1
92111,2350,1,1
92127,2951,2,0
92127,2621,1,0
92127,2500,2,0
92127,2951,2,0
92127,2621,1,0
92127,2500,2,0
92127,2951,2,0
92127,2621,1,0
92127,2500,2,0
92127,2951,2,0
92127,2621,1,0
92127,2500,2,0
92127,2951,2,0
92127,2621,1,0
92127,2500,2,0
92127,2951,2,0
92127,2621,1,0
92127,2500,2,0
92127,2951,2,0
92127,2621,1,0
92127,2500,2,0
92127,2951,2,0
92127,2621,1,0
92127,2500,2,0
92127,2951,2,0
92127,2621,1,0
92127,2500,2,0
92128,3520,2,0
92128,3515,2,0
92128,2486,1,0
92128,2679,1,0
92128,2678,1,0
92128,2390,1,0
92128,2689,1,0
92128,2512,1,0
92128,2489,1,0
92128,3520,2,0
92128,3515,2,0
92128,2486,1,0
92128,2679,1,0
92128,2678,1,0
92128,2390,1,0
92128,2689,1,0
92128,2512,1,0
92128,2489,1,0
92128,3520,2,0
92128,3515,2,0
92128,2486,1,0
92128,2679,1,0
92128,2678,1,0
92128,2390,1,0
92128,2689,1,0
92128,2512,1,0
92128,2489,1,0
92128,3520,2,0
92128,3515,2,0
92128,2486,1,0
92128,2679,1,0
92128,2678,1,0
92128,2390,1,0
92128,2689,1,0
92128,2512,1,0
92128,2489,1,0
92128,3520,2,0
92128,3515,2,0
92128,2486,1,0
92128,2679,1,0
92128,2678,1,0
92128,2390,1,0
92128,2689,1,0
92128,2512,1,0
92128,2489,1,0
92128,3520,2,0
92128,3515,2,0
92128,2486,1,0
92128,2679,1,0
92128,2678,1,0
92128,2390,1,0
92128,2689,1,0
92128,2512,1,0
92128,2489,1,0
92128,3520,2,0
92128,3515,2,0
92128,2486,1,0
92128,2679,1,0
92128,2678,1,0
92128,2390,1,0
92128,2689,1,0
92128,2512,1,0
92128,2489,1,0
92128,3520,2,0
92128,3515,2,0
92128,2486,1,0
92128,2679,1,0
92128,2678,1,0
92128,2390,1,0
92128,2689,1,0
92128,2512,1,0
92128,2489,1,0
92128,3520,2,0
92128,3515,2,0
92128,2486,1,0
92128,2679,1,0
92128,2678,1,0
92128,2390,1,0
92128,2689,1,0
92128,2512,1,0
92128,2489,1,0
92104,2805,0,0
92104,2300,0,0
92104,3000,1,0
92104,1950,0,0
92104,1925,0,0
92104,2800,1,0
92104,2870,1,0
92104,2798,0,0
92104,2805,0,0
92104,2300,0,0
92104,3000,1,0
92104,1950,0,0
92104,1925,0,0
92104,2800,1,0
92104,2870,1,0
92104,2798,0,0
92104,2805,0,0
92104,2300,0,0
92104,3000,1,0
92104,1950,0,0
92104,1925,0,0
92104,2800,1,0
92104,2870,1,0
92104,2798,0,0
92104,2805,0,0
92104,2300,0,0
92104,3000,1,0
92104,1950,0,0
92104,1925,0,0
92104,2800,1,0
92104,2870,1,0
92104,2798,0,0
92104,2805,0,0
92104,2300,0,0
92104,3000,1,0
92104,1950,0,0
92104,1925,0,0
92104,2800,1,0
92104,2870,1,0
92104,2798,0,0
92104,2805,0,0
92104,2300,0,0
92104,3000,1,0
92104,1950,0,0
92104,1925,0,0
92104,2800,1,0
92104,2870,1,0
92104,2798,0,0
92104,2805,0,0
92104,2300,0,0
92104,3000,1,0
92104,1950,0,0
92104,1925,0,0
92104,2800,1,0
92104,2870,1,0
92104,2798,0,0
92104,2805,0,0
92104,2300,0,0
92104,3000,1,0
92104,1950,0,0
92104,1925,0,0
92104,2800,1,0
92104,2870,1,0
92104,2798,0,0
92104,2805,0,0
92104,2300,0,0
92104,3000,1,0
92104,1950,0,0
92104,1925,0,0
92104,2800,1,0
92104,2870,1,0
92104,2798,0,0
92122,3198,2,0
92122,2696,1,0
92122,2440,0,0
92122,3119,1,0
92122,2309,0,0
92122,2798,1,0
92122,2660,1,0
92122,2389,1,0
92122,3198,2,0
92122,2696,1,0
92122,2440,0,0
92122,3119,1,0
92122,2309,0,0
92122,2798,1,0
92122,2660,1,0
92122,2389,1,0
92122,3198,2,0
92122,2696,1,0
92122,2440,0,0
92122,3119,1,0
92122,2309,0,0
92122,2798,1,0
92122,2660,1,0
92122,2389,1,0
92122,3198,2,0
92122,2696,1,0
92122,2440,0,0
92122,3119,1,0
92122,2309,0,0
92122,2798,1,0
92122,2660,1,0
92122,2389,1,0
92122,3198,2,0
92122,2696,1,0
92122,2440,0,0
92122,3119,1,0
92122,2309,0,0
92122,2798,1,0
92122,2660,1,0
92122,2389,1,0
92122,3198,2,0
92122,2696,1,0
92122,2440,0,0
92122,3119,1,0
92122,2309,0,0
92122,2798,1,0
92122,2660,1,0
92122,2389,1,0
92122,3198,2,0
92122,2696,1,0
92122,2440,0,0
92122,3119,1,0
92122,2309,0,0
92122,2798,1,0
92122,2660,1,0
92122,2389,1,0
92122,3198,2,0
92122,2696,1,0
92122,2440,0,0
92122,3119,1,0
92122,2309,0,0
92122,2798,1,0
92122,2660,1,0
92122,2389,1,0
92122,3198,2,0
92122,2696,1,0
92122,2440,0,0
92122,3119,1,0
92122,2309,0,0
92122,2798,1,0
92122,2660,1,0
92122,2389,1,0
92109,2495,1,0
92109,2950,1,0
92109,2195,1,0
92109,2146,0,0
92109,2910,1,0
92109,3250,2,0
92109,2495,1,0
92109,2950,1,0
92109,2195,1,0
92109,2146,0,0
92109,2910,1,0
92109,3250,2,0
92109,2495,1,0
92109,2950,1,0
92109,2195,1,0
92109,2146,0,0
92109,2910,1,0
92109,3250,2,0
92109,2495,1,0
92109,2950,1,0
92109,2195,1,0
92109,2146,0,0
92109,2910,1,0
92109,3250,2,0
92109,2495,1,0
92109,2950,1,0
92109,2195,1,0
92109,2146,0,0
92109,2910,1,0
92109,3250,2,0
92109,2495,1,0
92109,2950,1,0
92109,2195,1,0
92109,2146,0,0
92109,2910,1,0
92109,3250,2,0
92109,2495,1,0
92109,2950,1,0
92109,2195,1,0
92109,2146,0,0
92109,2910,1,0
92109,3250,2,0
92109,2495,1,0
92109,2950,1,0
92109,2195,1,0
92109,2146,0,0
92109,2910,1,0
92109,3250,2,0
92109,2495,1,0
92109,2950,1,0
92109,2195,1,0
92109,2146,0,0
92109,2910,1,0
92109,3250,2,0
92101,2695,1,1
92101,2350,1,1
92101,2982,1,1
92101,2995,0,1
92101,2769,1,1
92101,3315,0,1
92101,2525,1,1
92101,2999,0,1
92101,2350,0,1
92101,2695,1,1
92101,2350,1,1
92101,2982,1,1
92101,2995,0,1
92101,2769,1,1
92101,3315,0,1
92101,2525,1,1
92101,2999,0,1
92101,2350,0,1
92101,2695,1,1
92101,2350,1,1
92101,2982,1,1
92101,2995,0,1
92101,2769,1,1
92101,3315,0,1
92101,2525,1,1
92101,2999,0,1
92101,2350,0,1
92101,2695,1,1
92101,2350,1,1
92101,2982,1,1
92101,2995,0,1
92101,2769,1,1
92101,3315,0,1
92101,2525,1,1
92101,2999,0,1
92101,2350,0,1
92101,2695,1,1
92101,2350,1,1
92101,2982,1,1
92101,2995,0,1
92101,2769,1,1
92101,3315,0,1
92101,2525,1,1
92101,2999,0,1
92101,2350,0,1
92101,2695,1,1
92101,2350,1,1
92101,2982,1,1
92101,2995,0,1
92101,2769,1,1
92101,3315,0,1
92101,2525,1,1
92101,2999,0,1
92101,2350,0,1
92101,2695,1,1
92101,2350,1,1
92101,2982,1,1
92101,2995,0,1
92101,2769,1,1
92101,3315,0,1
92101,2525,1,1
92101,2999,0,1
92101,2350,0,1
92101,2695,1,1
92101,2350,1,1
92101,2982,1,1
92101,2995,0,1
92101,2769,1,1
92101,3315,0,1
92101,2525,1,1
92101,2999,0,1
92101,2350,0,1
92101,2695,1,1
92101,2350,1,1
92101,2982,1,1
92101,2995,0,1
92101,2769,1,1
92101,3315,0,1
92101,2525,1,1
92101,2999,0,1
92101,2350,0,1
92102,2195,2,0
92102,3000,1,0
92102,2195,2,0
92102,3000,1,0
92102,2195,2,0
92102,3000,1,0
92102,2195,2,0
92102,3000,1,0
92102,2195,2,0
92102,3000,1,0
92102,2195,2,0
92102,3000,1,0
92102,2195,2,0
92102,3000,1,0
92102,2195,2,0
92102,3000,1,0
92102,2195,2,0
92102,3000,1,0
92037,2995,1,1
92037,2959,2,1
92037,3350,0,1
92037,2370,1,1
92037,4649,1,1
92037,5200,2,1
92037,2995,1,1
92037,2959,2,1
92037,3350,0,1
92037,2370,1,1
92037,4649,1,1
92037,5200,2,1
92037,2995,1,1
92037,2959,2,1
92037,3350,0,1
92037,2370,1,1
92037,4649,1,1
92037,5200,2,1
92037,2995,1,1
92037,2959,2,1
92037,3350,0,1
92037,2370,1,1
92037,4649,1,1
92037,5200,2,1
92037,2995,1,1
92037,2959,2,1
92037,3350,0,1
92037,2370,1,1
92037,4649,1,1
92037,5200,2,1
92037,2995,1,1
92037,2959,2,1
92037,3350,0,1
92037,2370,1,1
92037,4649,1,1
92037,5200,2,1
92037,2995,1,1
92037,2959,2,1
92037,3350,0,1
92037,2370,1,1
92037,4649,1,1
92037,5200,2,1
92037,2995,1,1
92037,2959,2,1
92037,3350,0,1
92037,2370,1,1
92037,4649,1,1
92037,5200,2,1
92037,2995,1,1
92037,2959,2,1
92037,3350,0,1
92037,2370,1,1
92037,4649,1,1
92037,5200,2,1
92131,3075,1,1
92131,2726,1,1
92131,2949,1,1
92131,2550,1,1
92131,2745,1,1
92131,3400,3,1
92131,2999,2,1
92131,3075,1,1
92131,2726,1,1
92131,2949,1,1
92131,2550,1,1
92131,2745,1,1
92131,3400,3,1
92131,2999,2,1
92131,3075,1,1
92131,2726,1,1
92131,2949,1,1
